STATE,ZIPCODE,AGI2016,NoReturns,AvgAGI2016
AZ,85003,282886,3900,72535.0
AZ,85004,227527,2960,76867.0
AZ,85006,347753,9680,35925.0
AZ,85007,274046,5300,51707.0
AZ,85008,788776,23140,34087.0
AZ,85009,439324,15940,27561.0
AZ,85012,399170,3800,105045.0
AZ,85013,695056,9800,70924.0
AZ,85014,753881,12160,61997.0
AZ,85015,539164,15590,34584.0
AZ,85016,1641314,17560,93469.0
AZ,85017,372774,14110,26419.0
AZ,85018,2460146,17200,143032.0
AZ,85019,309261,10240,30201.0
AZ,85020,1142199,15970,71522.0
AZ,85021,1012865,16180,62600.0
AZ,85022,1395278,23110,60376.0
AZ,85023,896431,15340,58437.0
AZ,85024,764406,12050,63436.0
AZ,85027,863523,17710,48759.0
AZ,85028,1040331,10090,103105.0
AZ,85029,776967,19460,39926.0
AZ,85031,320356,11560,27712.0
AZ,85032,1623340,30860,52603.0
AZ,85033,611319,21280,28727.0
AZ,85034,80403,2090,38470.0
AZ,85035,545465,19510,27958.0
AZ,85037,702588,19830,35431.0
AZ,85040,359640,11580,31057.0
AZ,85041,915200,24170,37865.0
AZ,85042,841979,18060,46621.0
AZ,85043,478501,12720,37618.0
AZ,85044,1548946,19910,77797.0
AZ,85045,402017,3330,120726.0
AZ,85048,1691778,16170,104624.0
AZ,85050,1383030,13920,99356.0
AZ,85051,627401,18110,34644.0
AZ,85053,596248,13590,43874.0
AZ,85054,329703,3640,90578.0
AZ,85083,800306,7980,100289.0
AZ,85085,962627,10650,90388.0
AZ,85086,1493729,17160,87047.0
AZ,85087,300518,3880,77453.0
AZ,85118,453636,5300,85592.0
AZ,85119,417656,8160,51183.0
AZ,85120,415537,10810,38440.0
AZ,85121,20857,750,27809.0
AZ,85122,885467,19980,44318.0
AZ,85123,137677,3690,37311.0
AZ,85128,213895,5380,39757.0
AZ,85131,160006,3980,40203.0
AZ,85132,372854,7640,48803.0
AZ,85135,7584,190,39916.0
AZ,85137,34725,780,44519.0
AZ,85138,825145,15070,54754.0
AZ,85139,338414,7100,47664.0
AZ,85140,813800,14330,56790.0
AZ,85142,1959122,25800,75935.0
AZ,85143,707994,14280,49579.0
AZ,85145,46715,900,51906.0
AZ,85147,60333,1930,31261.0
AZ,85172,27875,740,37669.0
AZ,85173,39576,960,41225.0
AZ,85192,19611,480,40856.0
AZ,85193,43115,1210,35632.0
AZ,85194,153127,2400,63803.0
AZ,85201,732622,20310,36072.0
AZ,85202,801117,18250,43897.0
AZ,85203,771428,15170,50852.0
AZ,85204,992513,25150,39464.0
AZ,85205,1095873,17720,61844.0
AZ,85206,765853,15250,50220.0
AZ,85207,1630815,20120,81054.0
AZ,85208,627426,14530,43181.0
AZ,85209,1007339,17170,58669.0
AZ,85210,632200,16400,38549.0
AZ,85212,1057854,14850,71236.0
AZ,85213,1144800,14290,80112.0
AZ,85215,582409,7680,75835.0
AZ,85224,1351961,22340,60518.0
AZ,85225,1668703,32130,51936.0
AZ,85226,1467265,18790,78088.0
AZ,85233,1241643,17790,69794.0
AZ,85234,1697762,21760,78022.0
AZ,85248,1762243,16800,104895.0
AZ,85249,2082877,18720,111265.0
AZ,85250,794979,9050,87843.0
AZ,85251,1898138,20450,92818.0
AZ,85253,3752220,8080,464384.0
AZ,85254,2475067,22930,107940.0
AZ,85255,4532781,20030,226300.0
AZ,85256,84015,2120,39630.0
AZ,85257,803150,14990,53579.0
AZ,85258,1697681,12570,135058.0
AZ,85259,1783584,10560,168900.0
AZ,85260,2127210,18880,112670.0
AZ,85262,1722866,5380,320235.0
AZ,85263,140880,1010,139485.0
AZ,85264,47918,690,69446.0
AZ,85266,1072364,5050,212349.0
AZ,85268,1133592,10950,103524.0
AZ,85281,984123,21290,46225.0
AZ,85282,1225179,24450,50110.0
AZ,85283,1164478,21590,53936.0
AZ,85284,1344954,9620,139808.0
AZ,85286,1793388,18460,97150.0
AZ,85295,1547352,19360,79925.0
AZ,85296,1540606,19790,77848.0
AZ,85297,1158536,12970,89324.0
AZ,85298,1536418,14620,105090.0
AZ,85301,645525,22810,28300.0
AZ,85302,693603,17200,40326.0
AZ,85303,507421,13220,38383.0
AZ,85304,645713,12170,53058.0
AZ,85305,312326,5710,54698.0
AZ,85306,535851,10910,49116.0
AZ,85307,175882,4030,43643.0
AZ,85308,2000424,30300,66021.0
AZ,85309,7370,340,21676.0
AZ,85310,783322,9190,85236.0
AZ,85320,11724,330,35527.0
AZ,85321,47052,1270,37049.0
AZ,85322,11372,250,45488.0
AZ,85323,663858,16920,39235.0
AZ,85324,48372,1120,43189.0
AZ,85325,9644,290,33255.0
AZ,85326,1076837,23110,46596.0
AZ,85331,1582522,13160,120252.0
AZ,85332,26630,660,40348.0
AZ,85333,6255,190,32921.0
AZ,85334,14644,340,43071.0
AZ,85335,517535,13870,37313.0
AZ,85336,8466,320,26456.0
AZ,85337,33710,940,35862.0
AZ,85338,1364524,22740,60005.0
AZ,85339,926867,18560,49939.0
AZ,85340,1045487,13010,80360.0
AZ,85341,6665,170,39206.0
AZ,85342,30225,500,60450.0
AZ,85343,7000,110,63636.0
AZ,85344,164482,4030,40814.0
AZ,85345,1071239,25220,42476.0
AZ,85346,18920,580,32621.0
AZ,85347,10435,170,61382.0
AZ,85348,23860,620,38484.0
AZ,85349,462577,19490,23734.0
AZ,85350,239601,7200,33278.0
AZ,85351,649007,13930,46591.0
AZ,85352,9267,230,40291.0
AZ,85353,643261,16010,40179.0
AZ,85354,105419,2470,42680.0
AZ,85355,355809,4930,72172.0
AZ,85356,58783,1280,45924.0
AZ,85357,4844,160,30275.0
AZ,85360,3924,100,39240.0
AZ,85361,128644,2590,49669.0
AZ,85362,7818,200,39090.0
AZ,85363,99088,2780,35643.0
AZ,85364,1289548,27720,46520.0
AZ,85365,989720,17670,56011.0
AZ,85367,375141,6990,53668.0
AZ,85373,449299,8220,54659.0
AZ,85374,1024177,17910,57185.0
AZ,85375,851231,13390,63572.0
