"","business_id","name","neighborhood","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories"
"1","rDMptJYWtnMhpQu_rRXHng","""""McDonald's""""","","""""719 E Thunderbird Rd""""","Phoenix","AZ","85022",33.6070702,-112.0643825,1,10,1,"Fast Food;Burgers;Restaurants"
"2","1WBkAuQg81kokZIPMpn9Zg","""""Charr An American Burger Bar""""","","""""777 E Thunderbird Rd, Ste 107""""","Phoenix","AZ","85022",33.60731,-112.063404,3,232,1,"Burgers;Restaurants"
"3","Pd52CjgyEU3Rb8co6QfTPw","""""Flight Deck Bar & Grill""""","Southeast","""""6730 S Las Vegas Blvd""""","Las Vegas","NV","89119",36.0669136,-115.1708484,4,13,1,"Nightlife;Bars;Barbeque;Sports Bars;American (New);Restaurants"
"4","4srfPk1s8nlm1YusyDUbjg","""""Subway""""","Southeast","""""6889 S Eastern Ave, Ste 101""""","Las Vegas","NV","89119",36.0646523,-115.1189541,2.5,6,1,"Fast Food;Restaurants;Sandwiches"
"5","n7V4cD-KqqE3OXk0irJTyA","""""GameWorks""""","Southeast","""""6587 Las Vegas Blvd S, Ste 171""""","Las Vegas","NV","89119",36.0682585154,-115.1788768,3,349,1,"Arcades;Arts & Entertainment;Gastropubs;Restaurants;American (New)"
"6","iPa__LOhse-hobC2Xmp-Kw","""""McDonald's""""","","""""1635 E Camelback Rd""""","Phoenix","AZ","85016",33.5087649,-112.04624,3,34,1,"Restaurants;Burgers;Fast Food"
"7","kKx8iCJkomVQBdWHnmmOiA","""""Little Caesars Pizza""""","","""""10720 E Southern Ave""""","Mesa","AZ","85209",33.3948766,-111.6001938,2.5,4,1,"Restaurants;Pizza"
"8","YhV93k9uiMdr3FlV4FHjwA","""""Caviness Studio""""","","""""""""","Phoenix","AZ","85001",33.4499672,-112.0702225,5,4,1,"Marketing;Men's Clothing;Restaurants;Graphic Design;Women's Clothing;Screen Printing;Advertising;Pizza;Shopping;Web Design;Fashion;Local Services;Screen Printing/T-Shirt Printing;Professional Services"
"9","F0fEKpTk7gAmuSFI0KW1eQ","""""Cafe Mastrioni""""","Spring Valley","""""4250 S Rainbow Blvd, Ste 1007""""","Las Vegas","NV","89103",36.1110572,-115.2416881,1.5,3,0,"Italian;Restaurants"
"10","VdlPZg2NAu8t8GkdbPLecg","""""Tandoori Times Indian Bistro""""","","""""8140 N Hayden Rd, Ste H115""""","Scottsdale","AZ","85258",33.5552118623,-111.900456296,3.5,263,1,"Restaurants;Gluten-Free;Indian;Seafood"
"11","QkG3KUXwqZBW18A9k1xqCA","""""Red Lobster""""","","""""2810 North 75th Ave""""","Phoenix","AZ","85035",33.4787353,-112.2213794,2.5,37,1,"American (Traditional);Restaurants;Seafood"
"12","5XejqzaFmtkZMstJS5Iy-w","""""D'Lish Cafe""""","","""""503 W Thomas Rd""""","Phoenix","AZ","85013",33.4803014,-112.0805864,4,37,0,"Vegan;American (New);Restaurants;Sandwiches;Salad;Wraps;Food"
"13","Wpt0sFHcPtV5MO9He7yMKQ","""""McDonald's""""","Eastside","""""3020 E Desert Inn Rd""""","Las Vegas","NV","89121",36.1300128,-115.10931,2,20,1,"Restaurants;Fast Food;Burgers"
"14","MTH-AcNyWfsBa9sXp04HcQ","""""Firehouse Subs""""","","""""3420 E Baseline Rd, Ste 101""""","Mesa","AZ","85204",33.3796209,-111.7571603,3.5,82,1,"Food;Delis;Fast Food;Sandwiches;Restaurants"
"15","nigYwB_m1TQ1WosjSWi-Hw","""""Simply Burgers""""","","""""1455 W Elliot Rd""""","Gilbert","AZ","85233",33.3496582,-111.8212381,3,5,0,"Burgers;Restaurants"
"16","W1Yr6c2XDx_RBjb6WsV-aQ","""""Divine Cafe at the Springs Preserve""""","Westside","""""333 S Valley View Blvd""""","Las Vegas","NV","89152",36.1707064994,-115.190288481,4,140,1,"Restaurants;Cafes;American (New);Bars;Nightlife;Wine Bars"
"17","vzx1WdVivFsaN4QYrez2rw","""""Subway""""","","""""5111 Boulder Hwy""""","Las Vegas","NV","89122",36.1128952,-115.0623534,3,3,1,"Sandwiches;Restaurants;Fast Food"
"18","Uy3_5nLo3sYkAuSX6mjdmg","""""Geebee's Bar & Grill""""","Southeast","""""8560 Las Vegas Blvd S""""","Las Vegas","NV","89123",36.0342435,-115.1714093,4.5,33,0,"Restaurants;American (Traditional)"
"19","2v-8QQfMLX2PCz-0S6gISQ","""""Papa John's Pizza""""","","""""3441 W Northern Ave""""","Phoenix","AZ","85051",33.5528695002,-112.133711849,2.5,7,1,"Pizza;Restaurants;Fast Food"
"20","M3uV9Y3EDSpy9d4YwyNSAQ","""""Yakiramen""""","","""""10605 N 43rd Ave""""","Phoenix","AZ","85029",33.5823628,-112.1498845,4,66,1,"Nightlife;Japanese;Music Venues;Ramen;Arts & Entertainment;Restaurants;Bars"
"21","Qv0OEziLJwyAqcgtrTsA4w","""""Luke's Of Chicago""""","","""""15223 N Northsight Blvd""""","Scottsdale","AZ","85260",33.6228299458,-111.892189979,3.5,50,0,"Italian;Restaurants;Sandwiches;Hot Dogs"
"22","6PwKC0dqP9uI85FEP86iPQ","""""Red Viet Cuisine - Sushi""""","","""""5221 S Power Rd, Ste 104""""","MESA","AZ","85212",33.3210685814,-111.685171832,3.5,164,0,"Sushi Bars;Restaurants;Japanese;Asian Fusion;Vietnamese"
"23","U1ZVgF-kfkvv_rcoe0RglQ","""""Pho Noodles""""","","""""3417 N 7th Ave""""","Phoenix","AZ","85013",33.4887595,-112.082401842,4.5,172,1,"Restaurants;Noodles;Vietnamese"
"24","FfI9FOaQqzUxixw6_glt3Q","""""Affinito's Bistro""""","","""""3655 W Anthem Way, Ste C-137""""","Phoenix","AZ","85086",33.8649643,-112.1388202,3,6,0,"Restaurants;Italian"
"25","3b4efqz06QrLQ_w2xLc4pA","""""Olive Garden Italian Restaurant""""","","""""10223 N Metro Parkway E""""","Phoenix","AZ","85051",33.5803023,-112.1196529,3,40,0,"Restaurants;Italian"
"26","dPxZI9lrKTl5dvFfnb1_Ig","""""Trattoria Italia""""","Anthem","""""9905 S Eastern Ave, Ste 140""""","Las Vegas","NV","89183",36.0100856,-115.1186563,4.5,210,1,"Seafood;Italian;Pizza;Restaurants"
"27","RAUI7uwpMP6dlcHXkavwHg","""""Smashburger""""","","""""5215 W Baseline Rd""""","Laveen","AZ","85339",33.3764804463,-112.171588953,3,23,1,"Burgers;Restaurants"
"28","irYAkavSVtIEyGOsHK-yPw","""""Palette""""","","""""1625 N Central Ave""""","Phoenix","AZ","85004",33.4667324,-112.0727233,3.5,43,1,"Event Planning & Services;American (New);Sandwiches;Salad;Caterers;Restaurants"
"29","WfB_SsYeKy83QQsqAAyGVQ","""""Cancun Bar & Grill""""","Southeast","""""5006 S Maryland Pkwy, Ste 17""""","Las Vegas","NV","89119",36.0986321,-115.1360793,4.5,5,1,"Karaoke;Bars;Mexican;Restaurants;Nightlife;Dance Clubs"
"30","mFE7N0p3f_7vcMTUy76ifw","""""Village Inn""""","","""""2780 E Germann Rd""""","Chandler","AZ","85248",33.2792396,-111.7928411,3.5,49,1,"American (Traditional);Breakfast & Brunch;Salad;Burgers;Restaurants"
"31","9zSRAOUIM3I2ZnY9xwvioQ","""""Sandstone Cafe""""","","""""4959 W Ray Rd""""","Chandler","AZ","85226",33.3183691,-111.9276449,3,10,0,"Restaurants;American (Traditional)"
"32","_eKvk2GoGKb3CoYolHgRlg","""""Fresko A Mediterranean Kitchen""""","","""""5033 E Elliot Rd""""","Phoenix","AZ","85044",33.347893,-111.9768218,4.5,88,1,"Greek;Vegetarian;Sandwiches;Mediterranean;Restaurants"
"33","SAae44V24aD7y_HpgxjhPA","""""Nando's Mexican Cafe""""","","""""6715 E McDowell Rd""""","Mesa","AZ","85215",33.4658931,-111.6858266,3.5,192,1,"Restaurants;Mexican"
"34","kRgP3LxO2ugBrC1YpWLncA","""""Bangkok Thai Bar-B-Q""""","","""""13828 N 51st Ave""""","Glendale","AZ","85306",33.611520848,-112.170486564,4,131,1,"Restaurants;Asian Fusion;Thai"
"35","mfQlXkeNhW1vz_1iq63mNQ","""""Del Taco""""","","""""1483 N Dysart Rd""""","Avondale","AZ","85323",33.454393,-112.3404076,2.5,23,1,"Restaurants;Fast Food;Mexican"
"36","owwKUc2VFUMgRPZFEgrtKA","""""Pho Dam""""","","""""2025 N Dobson Rd""""","Chandler","AZ","85224",33.3362676,-111.8741442,4,17,1,"Restaurants;Vietnamese"
"37","6CpAWkTcqqNtGAfOsPeFUw","""""Arby's""""","","""""17032 N 99th Ave""""","Sun City","AZ","85373",33.6392628656,-112.275256168,3.5,9,1,"American (Traditional);Restaurants;Sandwiches;Steakhouses;American (New);Fast Food"
"38","u29lf2yPd-qK5ThAS9FRQQ","""""Kinthai""""","Westside","""""4105 W Sahara Ave""""","Las Vegas","NV","89102",36.1440231017,-115.195895992,4.5,61,0,"Restaurants;Thai"
"39","KYEZATGRY5aD69ZR6VvyWQ","""""North Forty Saloon and BBQ""""","Centennial","""""5990 Centennial Center Blvd""""","Las Vegas","NV","89149",36.2718383376,-115.263279393,3.5,31,0,"Dance Clubs;Nightlife;Restaurants;Barbeque;American (Traditional)"
"40","pBoWsom3mZFYo9EucIWRDg","""""Kabuki Sushi & Grill""""","","""""8378 W Thunderbird Rd, Ste 107""""","Peoria","AZ","85381",33.6114217,-112.2395205,4,157,1,"Restaurants;Japanese;Sushi Bars"
"41","7J_8O6w79raFRSORc3bRew","""""AZ Pho & Grill""""","","""""3140 S Gilbert Rd, Ste 1""""","Chandler","AZ","85286",33.2606908,-111.7903737,4,249,1,"Bubble Tea;Restaurants;Food;Vietnamese"
"42","qB15WElGAlI_eGWjn0kT2w","""""Taco Bell""""","","""""15240 N. 32nd Street""""","Phoenix","AZ","85032",33.6259,-112.0136,2,18,1,"Tex-Mex;Fast Food;Restaurants;Mexican"
"43","rSCevr5tQJTxPzMIq3n5Gw","""""Yoshi's Asian Grill""""","","""""3800 E Sky Harbor Blvd""""","Phoenix","AZ","85034",33.4356207,-112.0095457,2.5,14,0,"Restaurants;Asian Fusion"
"44","tCJGEQVqjELLYv3fPNX5Rw","""""Fleming's Prime Steakhouse-Scottsdale""""","","""""20753 N Pima Rd""""","Scottsdale","AZ","85255",33.674238,-111.889288,3.5,190,1,"Nightlife;Restaurants;Steakhouses;Wine Bars;Bars;Seafood"
